Fate,Sex,Boat.dibs,Age,Title,Class,Deck,Side,Fare,Fare.pp,Embarked,Family,RanN
Perished,male,No,22,Mr,Third,UNK,UNK,7.25,1.8125,S,3,2.96550049912184
Survived,female,Yes,38,Mrs,First,C,starboard,71.2833,17.820825,C,3,1.28177268896252
Survived,female,Yes,26,Miss,Third,UNK,UNK,7.925,2.64166666666667,S,2,5.00881624175236
Survived,female,Yes,35,Mrs,First,C,starboard,53.1,13.275,S,3,0.855367444455624
Perished,male,No,35,Mr,Third,UNK,UNK,8.05,2.68333333333333,S,2,5.98050425527617
Perished,male,No,30,Mr,Third,UNK,UNK,8.4583,2.81943333333333,Q,2,7.80383250210434
Perished,male,No,54,Mr,First,E,port,51.8625,17.2875,S,2,2.74398389039561
Perished,male,Yes,2,Master,Third,UNK,UNK,21.075,3.01071428571429,S,6,1.80245070252568
Survived,female,Yes,27,Mrs,Third,UNK,UNK,11.1333,2.22666,S,4,4.38891116296872
Survived,female,Yes,14,Mrs,Second,UNK,UNK,30.0708,7.5177,C,3,9.66632404830307
Survived,female,Yes,4,Miss,Third,G,port,16.7,3.34,S,4,0.523962560109794
Survived,female,Yes,58,Miss,First,C,starboard,26.55,8.85,S,2,8.28858399065211
Perished,male,No,20,Mr,Third,UNK,UNK,8.05,2.68333333333333,S,2,1.65447718231007
Perished,male,No,39,Mr,Third,UNK,UNK,31.275,3.475,S,8,6.01460300618783
Perished,female,Yes,14,Miss,Third,UNK,UNK,7.8542,2.61806666666667,S,2,4.12549015600234
Survived,female,Yes,55,Mrs,Second,UNK,UNK,16,5.33333333333333,S,2,0.987030344549567
Perished,male,Yes,2,Master,Third,UNK,UNK,29.125,3.640625,Q,7,0.140640675090253
Survived,male,No,30,Mr,Second,UNK,UNK,13,4.33333333333333,S,2,1.05817230185494
Perished,female,Yes,31,Mrs,Third,UNK,UNK,18,4.5,S,3,9.03799249557778
Survived,female,Yes,35,Mrs,Third,UNK,UNK,7.225,2.40833333333333,C,2,1.92821416538209
Perished,male,No,35,Mr,Second,UNK,UNK,26,8.66666666666667,S,2,3.85482979472727
Survived,male,No,34,Mr,Second,D,port,13,4.33333333333333,S,2,4.7110060043633
Survived,female,Yes,15,Miss,Third,UNK,UNK,8.0292,2.6764,Q,2,0.792747186496854
Survived,male,No,28,Mr,First,A,port,35.5,11.8333333333333,S,2,2.17354808468372
Perished,female,Yes,8,Miss,Third,UNK,UNK,21.075,3.01071428571429,S,6,8.03766656666994
Survived,female,Yes,38,Mrs,Third,UNK,UNK,31.3875,3.4875,S,8,3.60279608517885
Perished,male,No,30,Mr,Third,UNK,UNK,7.225,2.40833333333333,C,2,4.29231665795669
Perished,male,No,19,Mr,First,C,starboard,263,32.875,S,7,2.39147439133376
Survived,female,Yes,21,Miss,Third,UNK,UNK,7.8792,2.6264,Q,2,9.23138902988285
Perished,male,No,30,Mr,Third,UNK,UNK,7.8958,2.63193333333333,S,2,8.48026144085452
Perished,male,No,40,Noble,First,UNK,UNK,27.7208,9.24026666666667,C,2,6.57489521428943
Survived,female,Yes,35,Mrs,First,B,port,146.5208,36.6302,C,3,1.54949669027701
Survived,female,Yes,21,Miss,Third,UNK,UNK,7.75,2.58333333333333,Q,2,1.88290536403656
Perished,male,No,66,Mr,Second,UNK,UNK,10.5,3.5,S,2,8.18112438544631
Perished,male,No,28,Mr,First,UNK,UNK,82.1708,20.5427,C,3,7.28370213881135
Perished,male,No,42,Mr,First,UNK,UNK,52,13,S,3,7.20344792818651
Survived,male,No,30,Mr,Third,UNK,UNK,7.2292,2.40973333333333,C,2,4.53733588801697
Perished,male,No,21,Mr,Third,UNK,UNK,8.05,2.68333333333333,S,2,6.0463193920441
Perished,female,Yes,18,Miss,Third,UNK,UNK,18,3.6,S,4,6.50306185008958
Survived,female,Yes,14,Miss,Third,UNK,UNK,11.2417,2.810425,C,3,7.06641897791997
Perished,female,Yes,40,Mrs,Third,UNK,UNK,9.475,2.36875,S,3,7.41966734873131
Perished,female,Yes,27,Mrs,Second,UNK,UNK,21,5.25,S,3,3.05705833248794
Perished,male,No,30,Mr,Third,UNK,UNK,7.8958,2.63193333333333,C,2,6.84351838426664
Survived,female,Yes,3,Miss,Second,UNK,UNK,41.5792,6.92986666666667,C,5,2.93651948450133
Survived,female,Yes,19,Miss,Third,UNK,UNK,7.8792,2.6264,Q,2,7.04953524051234
Perished,male,No,30,Mr,Third,UNK,UNK,8.05,2.68333333333333,S,2,8.64158308831975
Perished,male,No,30,Mr,Third,UNK,UNK,15.5,3.875,Q,3,6.95437364745885
Survived,female,Yes,21,Miss,Third,UNK,UNK,7.75,2.58333333333333,Q,2,4.24298469442874
Perished,male,No,30,Mr,Third,UNK,UNK,21.6792,4.33584,C,4,7.20660510705784
Perished,female,Yes,18,Mrs,Third,UNK,UNK,17.8,4.45,S,3,0.640855990350246
Perished,male,Yes,7,Master,Third,UNK,UNK,39.6875,4.9609375,S,7,0.16087822848931
Perished,male,No,21,Mr,Third,UNK,UNK,7.8,2.6,S,2,5.01434786245227
Survived,female,Yes,49,Mrs,First,D,starboard,76.7292,19.1823,C,3,1.97614378063008
Survived,female,Yes,29,Mrs,Second,UNK,UNK,26,6.5,S,3,4.95038551976904
Perished,male,No,65,Mr,First,B,port,61.9792,15.4948,C,3,9.6258620172739
Survived,male,No,30,Mr,First,C,port,35.5,11.8333333333333,S,2,6.08090589521453
Survived,female,Yes,21,Miss,Second,UNK,UNK,10.5,3.5,S,2,7.59686488192528
Perished,male,No,28.5,Mr,Third,UNK,UNK,7.2292,2.40973333333333,C,2,6.471907121595
Survived,female,Yes,5,Miss,Second,UNK,UNK,27.75,4.625,S,5,6.84610206866637
Perished,male,Yes,11,Master,Third,UNK,UNK,46.9,4.69,S,9,5.596054692287
Perished,male,No,22,Mr,Third,UNK,UNK,7.2292,2.40973333333333,C,2,5.1338616781868
Survived,female,Yes,38,Miss,First,B,port,80,26.6666666666667,S,2,2.37505256431177
Perished,male,No,45,Mr,First,C,starboard,83.475,20.86875,S,3,0.934636611491442
Perished,male,Yes,4,Master,Third,UNK,UNK,27.9,3.4875,S,7,4.72710591508076
Perished,male,No,30,Mr,First,UNK,UNK,27.7208,9.24026666666667,C,2,5.93187595717609
Survived,male,Yes,3.5,Master,Third,UNK,UNK,15.2458,3.04916,C,4,7.60650517884642
Survived,female,Yes,29,Mrs,Second,F,starboard,10.5,3.5,S,2,0.740442636888474
Perished,male,No,19,Mr,Third,UNK,UNK,8.1583,2.71943333333333,S,2,8.18036919692531
Survived,female,Yes,17,Miss,Third,UNK,UNK,7.925,0.880555555555556,S,8,5.18676376203075
Perished,male,No,26,Mr,Third,UNK,UNK,8.6625,1.7325,S,4,5.52490256261081
Perished,male,No,32,Mr,Second,UNK,UNK,10.5,3.5,S,2,9.96871867217124
Perished,female,Yes,16,Miss,Third,UNK,UNK,46.9,4.69,S,9,2.0772037981078
Perished,male,No,21,Mr,Second,UNK,UNK,73.5,24.5,S,2,5.91210582992062
Perished,male,No,26,Mr,Third,UNK,UNK,14.4542,3.61355,C,3,6.70925139682367
Survived,male,No,32,Mr,Third,UNK,UNK,56.4958,18.8319333333333,S,2,1.28532666247338
Perished,male,No,25,Mr,Third,F,starboard,7.65,2.55,S,2,7.61318938573822
Perished,male,No,30,Mr,Third,UNK,UNK,7.8958,2.63193333333333,S,2,1.13538570702076
Perished,male,No,30,Mr,Third,UNK,UNK,8.05,2.68333333333333,S,2,9.02991229435429
Survived,male,Yes,0.83,Master,Second,UNK,UNK,29,5.8,S,4,4.7143658506684
Survived,female,Yes,30,Miss,Third,UNK,UNK,12.475,4.15833333333333,S,2,2.53924294374883
Perished,male,No,22,Mr,Third,UNK,UNK,9,3,S,2,8.6872684629634
Survived,male,No,29,Mr,Third,UNK,UNK,9.5,3.16666666666667,S,2,7.64994936762378
Survived,female,Yes,21,Miss,Third,UNK,UNK,7.7875,2.59583333333333,Q,2,8.50166080519557
Perished,male,No,28,Mr,First,UNK,UNK,47.1,15.7,S,2,8.67031113011762
Survived,female,Yes,17,Miss,Second,UNK,UNK,10.5,3.5,S,2,5.29412938747555
Survived,female,Yes,33,Mrs,Third,UNK,UNK,15.85,2.64166666666667,S,5,9.77162028895691
Perished,male,No,16,Mr,Third,UNK,UNK,34.375,4.91071428571429,S,6,4.98804842121899
Perished,male,No,30,Mr,Third,UNK,UNK,8.05,2.68333333333333,S,2,7.00354779837653
Survived,female,Yes,23,Miss,First,C,starboard,263,32.875,S,7,7.64360265107825
Perished,male,No,24,Mr,Third,UNK,UNK,8.05,2.68333333333333,S,2,3.21165426867083
Perished,male,No,29,Mr,Third,UNK,UNK,8.05,2.68333333333333,S,2,8.51606437936425
Perished,male,No,20,Mr,Third,UNK,UNK,7.8542,2.61806666666667,S,2,5.67374239210039
Perished,male,No,46,Mr,First,E,starboard,61.175,15.29375,S,3,0.0720423297025263
Perished,male,No,26,Mr,Third,UNK,UNK,20.575,3.42916666666667,S,5,1.81263959500939
Perished,male,No,59,Mr,Third,UNK,UNK,7.25,2.41666666666667,S,2,7.44785513263196
Perished,male,No,30,Mr,Third,UNK,UNK,8.05,2.68333333333333,S,2,9.08242110628635
Perished,male,No,71,Mr,First,A,starboard,34.6542,11.5514,C,2,6.73997761681676
Survived,male,No,23,Mr,First,D,port,63.3583,15.839575,C,3,0.059483963996172
Survived,female,Yes,34,Mrs,Second,UNK,UNK,23,5.75,S,3,4.76089442148805
Perished,male,No,34,Mr,Second,UNK,UNK,26,6.5,S,3,4.4062861893326
Perished,female,Yes,28,Miss,Third,UNK,UNK,7.8958,2.63193333333333,S,2,1.49482603883371
Perished,male,No,30,Mr,Third,UNK,UNK,7.8958,2.63193333333333,S,2,4.19895728584379
Perished,male,No,21,Mr,First,D,port,77.2875,19.321875,S,3,7.67157902242616
Perished,male,No,33,Mr,Third,UNK,UNK,8.6542,2.88473333333333,S,2,9.87734677270055
Perished,male,No,37,Mr,Third,UNK,UNK,7.925,1.585,S,4,5.32205371651798
Perished,male,No,28,Mr,Third,UNK,UNK,7.8958,2.63193333333333,S,2,9.22258411534131
Survived,female,Yes,21,Miss,Third,UNK,UNK,7.65,2.55,S,2,4.15179628878832
Survived,male,No,30,Mr,Third,UNK,UNK,7.775,2.59166666666667,S,2,4.02032480109483
Perished,male,No,38,Mr,Third,UNK,UNK,7.8958,2.63193333333333,S,2,5.88003035867587
Survived,female,Yes,21,Miss,Third,UNK,UNK,24.15,6.0375,Q,3,3.29764035297558
Perished,male,No,47,Mr,First,C,port,52,17.3333333333333,S,2,1.83500743471086
Perished,female,Yes,14.5,Miss,Third,UNK,UNK,14.4542,3.61355,C,3,0.24337281472981
Perished,male,No,22,Mr,Third,UNK,UNK,8.05,2.68333333333333,S,2,6.46545812720433
Perished,female,Yes,20,Miss,Third,UNK,UNK,9.825,2.45625,S,3,6.4027577615343
Perished,female,Yes,17,Miss,Third,UNK,UNK,14.4583,4.81943333333333,C,2,9.06593803782016
Perished,male,No,21,Mr,Third,UNK,UNK,7.925,2.64166666666667,S,2,0.922372527420521
Perished,male,No,70.5,Mr,Third,UNK,UNK,7.75,2.58333333333333,Q,2,9.26857762038708
Perished,male,No,29,Mr,Second,UNK,UNK,21,5.25,S,3,0.454642055556178
Perished,male,No,24,Mr,First,B,port,247.5208,61.8802,C,3,7.85131813958287
Perished,female,Yes,2,Miss,Third,UNK,UNK,31.275,3.475,S,8,7.47964556096122
Perished,male,No,21,Mr,Second,UNK,UNK,73.5,14.7,S,4,9.66783231822774
Perished,male,No,30,Mr,Third,UNK,UNK,8.05,2.68333333333333,S,2,7.07636190578341
Perished,male,No,32.5,Mr,Second,UNK,UNK,30.0708,7.5177,C,3,8.61974160186946
Survived,female,Yes,32.5,Miss,Second,E,starboard,13,4.33333333333333,S,2,8.60291356686503
Perished,male,No,54,Mr,First,D,port,77.2875,19.321875,S,3,6.298108312767
Survived,male,Yes,12,Master,Third,UNK,UNK,11.2417,2.810425,C,3,4.46167338639498
Perished,male,No,30,Mr,Third,UNK,UNK,7.75,2.58333333333333,Q,2,4.45715924724936
Survived,male,No,24,Mr,Third,UNK,UNK,7.1417,2.38056666666667,S,2,8.98558118380606
Survived,female,Yes,21,Miss,Third,F,starboard,22.3583,4.47166,C,4,2.79096408281475
Perished,male,No,45,Mr,Third,UNK,UNK,6.975,2.325,S,2,9.59201087011024
Perished,male,No,33,Mr,Third,UNK,UNK,7.8958,2.63193333333333,C,2,3.84736923500896
Perished,male,No,20,Mr,Third,UNK,UNK,7.05,2.35,S,2,3.68486128514633
Perished,female,Yes,47,Mrs,Third,UNK,UNK,14.5,3.625,S,3,4.80685412650928
Survived,female,Yes,29,Mrs,Second,UNK,UNK,26,6.5,S,3,7.00108058284968
Perished,male,No,25,Mr,Second,UNK,UNK,13,4.33333333333333,S,2,5.63920884160325
Perished,male,No,23,Mr,Second,UNK,UNK,15.0458,5.01526666666667,C,2,0.0832245335914195
Survived,female,Yes,19,Miss,First,D,starboard,26.2833,5.25666,S,4,3.51859583053738
Perished,male,No,37,Mr,First,C,starboard,53.1,13.275,S,3,9.81207501841709
Perished,male,No,16,Mr,Third,UNK,UNK,9.2167,3.07223333333333,S,2,0.9258206281811
Perished,male,No,24,Mr,First,B,port,79.2,26.4,C,2,3.8736864249222
Perished,female,Yes,35,Mrs,Third,UNK,UNK,15.2458,3.04916,C,4,8.65737479412928
Survived,female,Yes,22,Miss,Third,UNK,UNK,7.75,2.58333333333333,S,2,8.70724265696481
Survived,female,Yes,24,Mrs,Third,UNK,UNK,15.85,3.9625,S,3,6.39122485183179
Perished,male,No,19,Mr,Third,UNK,UNK,6.75,2.25,Q,2,7.74192020762712
Perished,male,No,18,Mr,Second,UNK,UNK,11.5,3.83333333333333,S,2,6.99012547265738
Perished,male,No,19,Mr,Second,UNK,UNK,36.75,7.35,S,4,3.93803372746333
Survived,male,No,27,Mr,Third,UNK,UNK,7.7958,2.5986,S,2,9.34552139835432
Perished,female,Yes,9,Miss,Third,UNK,UNK,34.375,4.91071428571429,S,6,9.23108809860423
Perished,male,No,36.5,Mr,Second,F,port,26,5.2,S,4,8.82025375263765
Perished,male,No,42,Noble,Second,UNK,UNK,13,4.33333333333333,S,2,3.67684282828122
Perished,male,No,51,Noble,Second,UNK,UNK,12.525,4.175,S,2,3.4121354483068
Survived,female,Yes,22,Mrs,First,C,port,66.6,16.65,S,3,0.790128151420504
Perished,male,No,55.5,Mr,Third,UNK,UNK,8.05,2.68333333333333,S,2,8.63165989750996
Perished,male,No,40.5,Mr,Third,UNK,UNK,14.5,2.9,S,4,0.72503287345171
Perished,male,No,30,Mr,Third,UNK,UNK,7.3125,2.4375,S,2,5.83610150264576
Perished,male,No,51,Mr,First,UNK,UNK,61.3792,15.3448,C,3,5.91994426911697
Survived,female,Yes,16,Miss,Third,UNK,UNK,7.7333,2.57776666666667,Q,2,2.05456190509722
Perished,male,No,30,Mr,Third,UNK,UNK,8.05,2.68333333333333,S,2,2.70085250493139
Perished,male,No,30,Mr,Third,UNK,UNK,8.6625,2.8875,S,2,6.70986396027729
Perished,male,Yes,3.5,Master,Third,UNK,UNK,69.55,6.32272727272727,S,10,3.02652257494628
Perished,male,No,44,Mr,Third,UNK,UNK,16.1,4.025,S,3,4.08234153175727
Survived,female,Yes,40,Mrs,Second,UNK,UNK,15.75,5.25,S,2,3.25721061090007
Perished,male,No,26,Mr,Third,UNK,UNK,7.775,2.59166666666667,S,2,5.63088422175497
Perished,male,No,17,Mr,Third,UNK,UNK,8.6625,2.8875,S,2,9.01092313462868
Perished,male,Yes,1,Master,Third,UNK,UNK,39.6875,4.9609375,S,7,7.94423758517951
Survived,male,Yes,9,Master,Third,UNK,UNK,20.525,4.105,S,4,3.07763159973547
Survived,female,Yes,35,Mrs,First,E,starboard,55,13.75,S,3,7.53506592009217
Perished,female,Yes,45,Mrs,Third,UNK,UNK,27.9,3.4875,S,7,4.97750334208831
Perished,male,No,30,Mr,First,UNK,UNK,25.925,8.64166666666667,S,2,5.21792767569423
Perished,male,No,28,Mr,Third,UNK,UNK,56.4958,18.8319333333333,S,2,8.05313958320767
Perished,male,No,61,Mr,First,B,starboard,33.5,11.1666666666667,S,2,5.10070404736325
Perished,male,Yes,4,Master,Third,UNK,UNK,29.125,3.640625,Q,7,1.50879857828841
Survived,female,Yes,1,Miss,Third,UNK,UNK,11.1333,2.22666,S,4,4.78667521150783
Perished,male,No,21,Mr,Third,UNK,UNK,7.925,2.64166666666667,S,2,1.21690624160692
Perished,male,No,56,Mr,First,A,starboard,30.6958,10.2319333333333,C,2,9.61042683571577
Perished,male,No,18,Mr,Third,UNK,UNK,7.8542,1.57084,S,4,7.8197102015838
Perished,male,Yes,3.5,Master,Third,UNK,UNK,25.4667,3.6381,S,6,9.28786481032148
Perished,female,Yes,50,Miss,First,C,starboard,28.7125,9.57083333333333,C,2,5.45885694446042
Perished,male,No,30,Mr,Second,UNK,UNK,13,4.33333333333333,S,2,2.05594249069691
Perished,male,No,36,Mr,Third,UNK,UNK,8.05,2.68333333333333,S,2,0.809563468210399
Perished,female,Yes,21,Miss,Third,UNK,UNK,69.55,6.32272727272727,S,10,9.61869203718379
Perished,male,No,30,Mr,Second,UNK,UNK,15.05,5.01666666666667,C,2,7.71881464635953
Perished,male,Yes,9,Master,Third,UNK,UNK,31.3875,3.4875,S,8,7.33460269402713
Survived,male,Yes,1,Master,Second,F,port,39,6.5,S,5,4.17151980567724
Survived,female,Yes,4,Miss,Third,UNK,UNK,22.025,4.405,S,4,0.688656668644398
Perished,male,No,30,Mr,First,A,port,50,16.6666666666667,S,2,2.58823670214042
Survived,female,Yes,35,Mrs,Third,UNK,UNK,15.5,3.875,Q,3,7.96397010795772
Survived,male,No,45,Mr,First,UNK,UNK,26.55,8.85,S,2,3.15171950729564
Perished,male,No,40,Mr,Third,UNK,UNK,15.5,3.1,Q,4,2.14580985717475
Perished,male,No,36,Mr,Third,UNK,UNK,7.8958,2.63193333333333,S,2,2.0836583035998
Survived,female,Yes,32,Mrs,Second,UNK,UNK,13,4.33333333333333,S,2,1.17935298243538
Perished,male,No,19,Mr,Second,UNK,UNK,13,4.33333333333333,S,2,3.75113715883344
Survived,female,Yes,19,Miss,Third,UNK,UNK,7.8542,1.96355,S,3,8.45329152420163
Survived,male,Yes,3,Master,Second,F,port,26,5.2,S,4,8.16576859680936
Survived,female,Yes,44,Mrs,First,B,port,27.7208,9.24026666666667,C,2,5.22526709595695
Survived,female,Yes,58,Miss,First,B,port,146.5208,48.8402666666667,C,2,2.88223965326324
Perished,male,No,30,Mr,Third,UNK,UNK,7.75,2.58333333333333,Q,2,6.03058443171903
Perished,male,No,42,Mr,Third,UNK,UNK,8.4042,2.10105,S,3,1.41743200831115
Survived,female,Yes,21,Miss,Third,UNK,UNK,7.75,2.58333333333333,Q,2,5.00512361060828
Perished,female,Yes,24,Miss,Second,UNK,UNK,13,4.33333333333333,S,2,5.66072903573513
Perished,male,No,28,Mr,Third,UNK,UNK,9.5,3.16666666666667,S,2,1.45833653165027
Perished,male,No,30,Mr,Third,UNK,UNK,69.55,6.32272727272727,S,10,3.23367964709178
Perished,male,No,34,Mr,Third,UNK,UNK,6.4958,2.16526666666667,S,2,0.44736442156136
Perished,male,No,45.5,Mr,Third,UNK,UNK,7.225,2.40833333333333,C,2,6.55326325679198
Survived,male,No,18,Mr,Third,UNK,UNK,8.05,2.68333333333333,S,2,0.156732895411551
Perished,female,Yes,2,Miss,Third,G,port,10.4625,2.615625,S,3,4.55813647247851
Perished,male,No,32,Mr,Third,UNK,UNK,15.85,3.9625,S,3,0.503512239083648
Survived,male,No,26,Mr,Third,UNK,UNK,18.7875,6.2625,C,2,1.26734895631671
Survived,female,Yes,16,Miss,Third,UNK,UNK,7.75,2.58333333333333,Q,2,2.22637543221936
Survived,male,No,40,Mr,First,A,starboard,31,10.3333333333333,C,2,0.0987158180214465
Perished,male,No,24,Mr,Third,UNK,UNK,7.05,2.35,S,2,2.28903570678085
Survived,female,Yes,35,Miss,Second,UNK,UNK,21,7,S,2,8.55665997369215
Perished,male,No,22,Mr,Third,UNK,UNK,7.25,2.41666666666667,S,2,6.47705163573846
Perished,male,No,30,Mr,Second,UNK,UNK,13,4.33333333333333,S,2,6.89226005459204
Perished,male,No,30,Mr,Third,UNK,UNK,7.75,1.9375,Q,3,9.98540257103741
Survived,female,Yes,31,Miss,First,D,port,113.275,28.31875,C,3,3.74524077400565
Survived,female,Yes,27,Miss,Third,UNK,UNK,7.925,2.64166666666667,S,2,2.8260634560138
Perished,male,No,42,Mr,Second,UNK,UNK,27,6.75,S,3,1.58920486457646
Survived,female,Yes,32,Miss,First,D,starboard,76.2917,25.4305666666667,C,2,5.96217321930453
Perished,male,No,30,Mr,Second,UNK,UNK,10.5,3.5,S,2,2.38999251043424
Survived,male,No,16,Mr,Third,UNK,UNK,8.05,2.68333333333333,S,2,6.02440626360476
